"filename", "language", "AL", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\arash\Desktop\ProjectUniversity\README.md", "Markdown", 0, 3, 0, 0, 1, 4
"c:\Users\arash\Desktop\ProjectUniversity\app.json", "JSON", 0, 0, 32, 0, 0, 32
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50110.Student.Page.al", "AL", 65, 0, 0, 0, 3, 68
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50111.Student.Card.al", "AL", 69, 0, 0, 0, 3, 72
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50112.Department.page.al", "AL", 38, 0, 0, 0, 5, 43
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50113.Department.Card.al", "AL", 42, 0, 0, 0, 5, 47
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50114.Course.Page.al", "AL", 33, 0, 0, 0, 4, 37
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50115.Course.Card.al", "AL", 32, 0, 0, 0, 1, 33
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50116.Enrolment.Page.al", "AL", 53, 0, 0, 0, 6, 59
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50117.Enrolment.Card.al", "AL", 52, 0, 0, 0, 3, 55
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50118.Exam.Page.al", "AL", 48, 0, 0, 0, 6, 54
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50119.Exam.Card.al", "AL", 47, 0, 0, 0, 2, 49
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50120.Grade.page.al", "AL", 58, 0, 0, 0, 7, 65
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50121.Grade.Card.al", "AL", 57, 0, 0, 0, 4, 61
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50122.CoursePlan.Page.al", "AL", 61, 0, 0, 0, 8, 69
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50123.CoursePlan.Card.al", "AL", 55, 0, 0, 0, 5, 60
"c:\Users\arash\Desktop\ProjectUniversity\src\Page\50124.StudentCourse.SubPage.al", "AL", 21, 0, 0, 0, 1, 22
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50110.Student.Table.al", "AL", 65, 0, 0, 0, 3, 68
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50111.Department.Table.al", "AL", 50, 0, 0, 0, 6, 56
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50112.Course.Table.al", "AL", 42, 0, 0, 0, 4, 46
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50113.Enrolment.Table.al", "AL", 48, 0, 0, 0, 5, 53
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50114.Exam.Table.al", "AL", 51, 0, 0, 0, 4, 55
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50115.Grade.Table.al", "AL", 52, 0, 0, 0, 4, 56
"c:\Users\arash\Desktop\ProjectUniversity\src\Table\50116.CoursePlan.table.al", "AL", 51, 0, 0, 0, 6, 57
"Total", "-", 1090, 3, 32, 0, 96, 1221
